;x;y;comment_class;multiplier;
107;37,589311;55,734273;-1;1;
108;37,558526;55,728758;-1;1;
109;37,566431;55,731794;-1;1;
110;37,589311;55,734273;-1;1;
111;37,558526;55,728758;-1;1;
112;37,566431;55,731794;-1;1;
113;37,589311;55,734273;-1;1;
114;37,558526;55,728758;-1;1;
115;37,566431;55,731794;-1;1;
116;37,589311;55,734273;-1;1;
117;37,558526;55,728758;-1;1;
118;37,566431;55,731794;-1;1;
119;37,589311;55,734273;-1;1;
120;37,558526;55,728758;-1;1;
121;37,566431;55,731794;-1;1;
122;37,589311;55,734273;-1;1;
123;37,558526;55,728758;-1;1;
124;37,566431;55,731794;-1;1;
125;37,589311;55,734273;-1;1;
126;37,558526;55,728758;-1;1;
127;37,566431;55,731794;-1;1;
128;37,589311;55,734273;-1;1;
129;37,558526;55,728758;-1;1;
130;37,566431;55,731794;-1;1;
131;37,589311;55,734273;-1;1;
132;37,558526;55,728758;-1;1;
133;37,566431;55,731794;-1;1;
134;37,589311;55,734273;-1;1;
135;37,558526;55,728758;-1;1;
136;37,566431;55,731794;-1;1;
137;37,557511;55,729863;-1;1;
138;37,558526;55,728758;-1;1;
139;37,557745;55,730674;-1;1;
140;37,564078;55,734273;-1;1;
141;37,566431;55,731794;-1;1;
142;37,616243;55,733229;1;1;
143;37,537146;55,68263;-1;1;
144;37,590973;55,759532;-1;1;
145;37,591952;55,760109;-1;1;
146;37,537146;55,68263;-1;1;
147;37,603783;55,786966;-1;1;
148;37,558526;55,728758;-1;1;
149;37,566431;55,731794;-1;1;
150;37,557745;55,730674;-1;1;
151;37,589311;55,734273;1;1;
152;37,566431;55,731794;1;1;
153;37,566431;55,731794;-1;1;
154;37,566431;55,731794;-1;1;
155;37,597396;55,766704;-1;1;
156;37,596713;55,765944;-1;1;
157;37,596642;55,766162;-1;1;
158;37,566431;55,731794;-1;1;
159;37,558526;55,728758;-1;1;
160;37,55964;55,768831;-1;1;
161;37,589311;55,734273;-1;1;
162;37,589311;55,734273;-1;1;
163;37,566431;55,731794;-1;1;
164;37,589311;55,734273;-1;1;
165;37,558526;55,728758;-1;1;
166;37,566431;55,731794;-1;1;
167;37,558526;55,728758;-1;1;
168;37,589311;55,734273;-1;1;
169;37,566431;55,731794;-1;1;
170;37,566431;55,731794;1;1;
171;37,558526;55,728758;1;1;
172;37,589311;55,734273;1;1;
173;37,589311;55,734273;-1;1;
174;37,558526;55,728758;-1;1;
175;37,566431;55,731794;-1;1;
176;37,588916;55,741982;-1;1;
177;37,589311;55,734273;-1;1;
178;37,558526;55,728758;-1;1;
179;37,566431;55,731794;-1;1;
180;37,566431;55,731794;-1;1;
181;37,558526;55,728758;-1;1;
182;37,589311;55,734273;-1;1;
183;37,558526;55,728758;-1;1;
184;37,589311;55,734273;-1;1;
185;37,566431;55,731794;-1;1;
186;37,566431;55,731794;-1;1;
187;37,558526;55,728758;-1;1;
188;37,589311;55,734273;-1;1;
189;37,589311;55,734273;1;1;
190;37,558526;55,728758;1;1;
191;37,566431;55,731794;1;1;
192;37,589311;55,734273;-1;1;
193;37,558526;55,728758;-1;1;
194;37,566431;55,731794;-1;1;
195;37,558526;55,728758;1;1;
196;37,589311;55,734273;1;1;
197;37,566431;55,731794;1;1;
198;37,566431;55,731794;-1;1;
199;37,558526;55,728758;-1;1;
200;37,589311;55,734273;-1;1;
201;37,589311;55,734273;1;1;
202;37,558526;55,728758;1;1;
203;37,566431;55,731794;1;1;
204;37,566431;55,731794;-1;1;
205;37,604879;55,840548;-1;1;
206;37,558526;55,728758;-1;1;
207;37,589311;55,734273;-1;1;
208;37,589311;55,734273;-1;1;
209;37,558526;55,728758;-1;1;
210;37,566431;55,731794;-1;1;
211;37,566431;55,731794;-1;1;
212;37,604879;55,840548;-1;1;
213;37,558526;55,728758;-1;1;
214;37,589311;55,734273;-1;1;
215;37,589311;55,734273;-1;1;
216;37,558526;55,728758;-1;1;
217;37,566431;55,731794;-1;1;
218;37,589311;55,734273;-1;1;
219;37,558526;55,728758;-1;1;
220;37,566431;55,731794;-1;1;
221;37,566431;55,731794;1;1;
222;37,558526;55,728758;1;1;
223;37,589311;55,734273;1;1;
224;37,589311;55,734273;-1;1;
225;37,566431;55,731794;-1;1;
226;37,589311;55,734273;1;1;
227;37,558526;55,728758;1;1;
228;37,566431;55,731794;1;1;
229;37,566431;55,731794;-1;1;
230;37,558526;55,728758;-1;1;
231;37,589311;55,734273;-1;1;
232;37,589311;55,734273;-1;1;
233;37,558526;55,728758;-1;1;
234;37,566431;55,731794;-1;1;
235;37,589311;55,734273;-1;1;
236;37,589311;55,734273;-1;1;
237;37,558526;55,728758;-1;1;
238;37,566431;55,731794;-1;1;
239;37,566431;55,731794;-1;1;
240;37,558526;55,728758;-1;1;
241;37,589311;55,734273;-1;1;
242;37,589311;55,734273;1;1;
243;37,558526;55,728758;1;1;
244;37,566431;55,731794;1;1;
245;37,566431;55,731794;1;1;
246;37,558526;55,728758;1;1;
247;37,589311;55,734273;1;1;
248;37,589311;55,734273;-1;1;
249;37,558526;55,728758;-1;1;
250;37,566431;55,731794;-1;1;
251;37,589311;55,734273;1;1;
252;37,558526;55,728758;1;1;
253;37,566431;55,731794;1;1;
254;37,589311;55,734273;1;1;
255;37,558526;55,728758;1;1;
256;37,566431;55,731794;1;1;
257;37,566431;55,731794;1;1;
258;37,558526;55,728758;1;1;
259;37,589311;55,734273;1;1;
260;37,589311;55,734273;-1;1;
261;37,558526;55,728758;-1;1;
262;37,566431;55,731794;-1;1;
263;37,589311;55,734273;-1;1;
264;37,558526;55,728758;-1;1;
265;37,566431;55,731794;-1;1;
266;37,589311;55,734273;-1;1;
267;37,558526;55,728758;-1;1;
268;37,566431;55,731794;-1;1;
269;37,601034;55,76136;-1;1;
270;37,601034;55,76136;-1;1;
271;37,595034;55,762637;-1;1;
272;37,589311;55,734273;1;1;
273;37,558526;55,728758;1;1;
274;37,566431;55,731794;1;1;
275;37,589311;55,734273;-1;1;
276;37,558526;55,728758;-1;1;
277;37,566431;55,731794;-1;1;
278;37,566431;55,731794;1;1;
279;37,558526;55,728758;1;1;
280;37,589311;55,734273;1;1;
281;37,566431;55,731794;1;1;
282;37,558526;55,728758;1;1;
283;37,589311;55,734273;1;1;
284;37,589311;55,734273;1;1;
285;37,558526;55,728758;1;1;
286;37,566431;55,731794;1;1;
287;37,566431;55,731794;-1;1;
288;37,558526;55,728758;-1;1;
289;37,589311;55,734273;-1;1;
290;37,589311;55,734273;-1;1;
291;37,558526;55,728758;-1;1;
292;37,566431;55,731794;-1;1;
293;37,589311;55,734273;-1;1;
294;37,558526;55,728758;-1;1;
295;37,566431;55,731794;-1;1;
296;37,589311;55,734273;1;1;
297;37,558526;55,728758;1;1;
298;37,566431;55,731794;1;1;
299;37,589311;55,734273;-1;1;
300;37,558526;55,728758;-1;1;
301;37,566431;55,731794;-1;1;
302;37,570986;55,76168;-1;1;
303;37,585655;55,737684;-1;1;
304;37,566431;55,731794;-1;1;
305;37,558526;55,728758;-1;1;
306;37,589311;55,734273;-1;1;
307;37,558526;55,728758;-1;1;
308;37,589311;55,734273;-1;1;
309;37,566431;55,731794;-1;1;
310;37,557745;55,730674;-1;1;
311;37,566431;55,731794;-1;1;
312;37,557745;55,730674;1;1;
313;37,558526;55,728758;1;1;
314;37,566431;55,731794;1;1;
315;37,557745;55,730674;-1;1;
316;37,558526;55,728758;-1;1;
317;37,566431;55,731794;-1;1;
318;37,558526;55,728758;1;1;
319;37,589311;55,734273;1;1;
320;37,566431;55,731794;1;1;
321;37,558526;55,728758;-1;1;
322;37,589311;55,734273;-1;1;
323;37,566431;55,731794;-1;1;
324;37,558526;55,728758;-1;1;
325;37,589311;55,734273;-1;1;
326;37,566431;55,731794;-1;1;
327;37,558526;55,728758;-1;1;
328;37,566431;55,731794;-1;1;
329;37,557745;55,730674;-1;1;
330;37,558526;55,728758;-1;1;
331;37,566431;55,731794;-1;1;
332;37,589311;55,734273;1;1;
333;37,558526;55,728758;1;1;
334;37,566431;55,731794;1;1;
335;37,589311;55,734273;1;1;
336;37,558526;55,728758;1;1;
337;37,566431;55,731794;1;1;
338;37,589311;55,734273;1;1;
339;37,558526;55,728758;1;1;
340;37,566431;55,731794;1;1;
341;37,558526;55,728758;-1;1;
342;37,566431;55,731794;-1;1;
343;37,558526;55,728758;-1;1;
344;37,566431;55,731794;-1;1;
345;37,558526;55,728758;-1;1;
346;37,589311;55,734273;-1;1;
347;37,566431;55,731794;-1;1;
348;37,558526;55,728758;-1;1;
349;37,589311;55,734273;-1;1;
350;37,566431;55,731794;-1;1;
351;37,558526;55,728758;1;1;
352;37,589311;55,734273;1;1;
353;37,566431;55,731794;1;1;
354;37,558526;55,728758;-1;1;
355;37,589311;55,734273;-1;1;
356;37,566431;55,731794;-1;1;
357;37,589311;55,734273;-1;1;
358;37,558526;55,728758;-1;1;
359;37,566431;55,731794;-1;1;
360;37,589311;55,734273;1;1;
361;37,558526;55,728758;1;1;
362;37,566431;55,731794;1;1;
363;37,558526;55,728758;-1;1;
364;37,589311;55,734273;-1;1;
365;37,566431;55,731794;-1;1;
366;37,558526;55,728758;-1;1;
367;37,589311;55,734273;-1;1;
368;37,566431;55,731794;-1;1;
369;37,589311;55,734273;-1;1;
370;37,558526;55,728758;-1;1;
371;37,566431;55,731794;-1;1;
372;37,589311;55,734273;-1;1;
373;37,558526;55,728758;-1;1;
374;37,566431;55,731794;-1;1;
375;37,558526;55,728758;-1;1;
376;37,589311;55,734273;-1;1;
377;37,566431;55,731794;-1;1;
378;37,697738;55,733548;-1;1;
379;37,558526;55,728758;-1;1;
380;37,566431;55,731794;-1;1;
381;37,558526;55,728758;-1;1;
382;37,566431;55,731794;-1;1;
383;37,558526;55,728758;1;1;
384;37,566431;55,731794;1;1;
385;37,589311;55,734273;-1;1;
386;37,558526;55,728758;-1;1;
387;37,566431;55,731794;-1;1;
388;37,589311;55,734273;-1;1;
389;37,558526;55,728758;-1;1;
390;37,566431;55,731794;-1;1;
391;37,589311;55,734273;-1;1;
392;37,558526;55,728758;-1;1;
393;37,566431;55,731794;-1;1;
394;37,589311;55,734273;1;1;
395;37,558526;55,728758;1;1;
396;37,566431;55,731794;1;1;
397;37,589311;55,734273;-1;1;
398;37,558526;55,728758;-1;1;
399;37,566431;55,731794;-1;1;
400;37,589311;55,734273;-1;1;
401;37,558526;55,728758;-1;1;
402;37,566431;55,731794;-1;1;
403;37,580301;55,725737;-1;1;
404;37,589311;55,734273;-1;1;
405;37,558526;55,728758;-1;1;
406;37,566431;55,731794;-1;1;
407;37,589311;55,734273;-1;1;
408;37,558526;55,728758;-1;1;
409;37,566431;55,731794;-1;1;
410;37,589311;55,734273;-1;1;
411;37,558526;55,728758;-1;1;
412;37,566431;55,731794;-1;1;
413;37,589311;55,734273;1;1;
414;37,558526;55,728758;1;1;
415;37,566431;55,731794;1;1;
416;37,589311;55,734273;1;1;
417;37,558526;55,728758;1;1;
418;37,566431;55,731794;1;1;
419;37,589311;55,734273;1;1;
420;37,558526;55,728758;1;1;
421;37,566431;55,731794;1;1;
422;37,697738;55,733548;-1;1;
423;37,580301;55,725737;-1;1;
424;37,593255;55,733006;-1;1;
425;37,595716;55,734567;-1;1;
426;37,589311;55,734273;-1;1;
427;37,558526;55,728758;-1;1;
428;37,566431;55,731794;-1;1;
429;37,589311;55,734273;-1;1;
430;37,558526;55,728758;-1;1;
431;37,566431;55,731794;-1;1;
432;37,593956;55,733543;-1;1;
433;37,589311;55,734273;-1;1;
434;37,558526;55,728758;-1;1;
435;37,566431;55,731794;-1;1;
436;37,697738;55,733548;-1;1;
437;37,697738;55,733548;-1;1;
438;37,589311;55,734273;-1;1;
439;37,558526;55,728758;-1;1;
440;37,566431;55,731794;-1;1;
441;37,566431;55,731794;-1;1;
442;37,558526;55,728758;-1;1;
443;37,589311;55,734273;-1;1;
444;37,566431;55,731794;-1;1;
445;37,558526;55,728758;-1;1;
446;37,589311;55,734273;-1;1;
447;37,558526;55,728758;-1;1;
448;37,589311;55,734273;-1;1;
449;37,566431;55,731794;-1;1;
450;37,558526;55,728758;-1;1;
451;37,589311;55,734273;-1;1;
452;37,566431;55,731794;-1;1;
453;37,566431;55,731794;-1;1;
454;37,558526;55,728758;-1;1;
455;37,589311;55,734273;-1;1;
456;37,591952;55,760109;-1;1;
457;37,58809;55,761092;1;1;
458;37,590973;55,759532;1;1;
459;37,590973;55,759532;-1;1;
460;37,588754;55,76135;1;1;
461;37,590973;55,759532;1;1;
462;37,566431;55,731794;-1;1;
463;37,558526;55,728758;-1;1;
464;37,589311;55,734273;-1;1;
465;37,589311;55,734273;-1;1;
466;37,558526;55,728758;-1;1;
467;37,566431;55,731794;-1;1;
468;37,697738;55,733548;-1;1;
469;37,697738;55,733548;-1;1;
470;37,566431;55,731794;-1;1;
471;37,558526;55,728758;-1;1;
472;37,589311;55,734273;-1;1;
473;37,566431;55,731794;-1;1;
474;37,558526;55,728758;-1;1;
475;37,589311;55,734273;-1;1;
476;37,566431;55,731794;-1;1;
477;37,558526;55,728758;-1;1;
478;37,589311;55,734273;-1;1;
479;37,566431;55,731794;1;1;
480;37,558526;55,728758;1;1;
481;37,589311;55,734273;1;1;
482;37,558526;55,728758;-1;1;
483;37,589311;55,734273;-1;1;
484;37,566431;55,731794;-1;1;
485;37,566431;55,731794;-1;1;
486;37,558526;55,728758;-1;1;
487;37,589311;55,734273;-1;1;
488;37,589311;55,734273;-1;1;
489;37,558526;55,728758;-1;1;
490;37,566431;55,731794;-1;1;
491;37,558526;55,728758;-1;1;
492;37,589311;55,734273;-1;1;
493;37,566431;55,731794;-1;1;
494;37,587739;55,761117;-1;1;
495;37,590973;55,759532;-1;1;
496;37,596183;55,762895;-1;1;
497;37,590973;55,759532;1;1;
498;37,590973;55,759532;1;1;
499;37,55964;55,768831;1;1;
500;37,591952;55,760109;-1;1;
501;37,591952;55,760109;-1;1;
502;37,587739;55,761117;-1;1;
503;37,60408;55,759917;1;1;
504;37,590973;55,759532;1;1;
505;37,55964;55,768831;1;1;
506;37,63394;55,727785;-1;1;
507;37,631119;55,727562;-1;1;
508;37,558463;55,729564;1;1;
509;37,560898;55,729442;1;1;
510;37,558526;55,728758;1;1;
511;37,566431;55,731794;1;1;
512;37,589311;55,734273;-1;1;
513;37,558526;55,728758;-1;1;
514;37,566431;55,731794;-1;1;
515;37,589311;55,734273;-1;1;
516;37,558526;55,728758;-1;1;
517;37,566431;55,731794;-1;1;
518;37,589311;55,734273;-1;1;
519;37,558526;55,728758;-1;1;
520;37,566431;55,731794;-1;1;
521;37,589311;55,734273;-1;1;
522;37,558526;55,728758;-1;1;
523;37,566431;55,731794;-1;1;
524;37,589311;55,734273;-1;1;
525;37,558526;55,728758;-1;1;
526;37,566431;55,731794;-1;1;
527;37,558526;55,728758;-1;1;
528;37,566431;55,731794;-1;1;
529;37,558526;55,728758;-1;1;
530;37,566431;55,731794;-1;1;
531;37,589311;55,734273;-1;1;
532;37,558526;55,728758;-1;1;
533;37,566431;55,731794;-1;1;
534;37,589311;55,734273;1;1;
535;37,558526;55,728758;1;1;
536;37,566431;55,731794;1;1;
537;37,589311;55,734273;-1;1;
538;37,558526;55,728758;-1;1;
539;37,566431;55,731794;-1;1;
540;37,589311;55,734273;-1;1;
541;37,558526;55,728758;-1;1;
542;37,566431;55,731794;-1;1;
543;37,589311;55,734273;-1;1;
544;37,558526;55,728758;-1;1;
545;37,558688;55,728976;-1;1;
546;37,557511;55,729863;-1;1;
547;37,558526;55,728758;-1;1;
548;37,566431;55,731794;-1;1;
549;37,560493;55,730259;-1;1;
550;37,558526;55,728758;-1;1;
551;37,566431;55,731794;-1;1;
552;37,566431;55,731794;1;1;
553;37,558526;55,728758;1;1;
554;37,589311;55,734273;1;1;
555;37,566431;55,731794;1;1;
556;37,558526;55,728758;1;1;
557;37,589311;55,734273;1;1;
558;37,566431;55,731794;-1;1;
559;37,558526;55,728758;-1;1;
560;37,589311;55,734273;-1;1;
561;37,566431;55,731794;-1;1;
562;37,558526;55,728758;-1;1;
563;37,589311;55,734273;-1;1;
564;37,566431;55,731794;1;1;
565;37,558526;55,728758;1;1;
566;37,589311;55,734273;1;1;
567;37,566431;55,731794;-1;1;
568;37,558526;55,728758;-1;1;
569;37,589311;55,734273;-1;1;
570;37,558526;55,728758;-1;1;
571;37,566431;55,731794;-1;1;
572;37,558526;55,728758;-1;1;
573;37,566431;55,731794;-1;1;
574;37,589311;55,734273;-1;1;
575;37,558526;55,728758;-1;1;
576;37,566431;55,731794;-1;1;
577;37,566431;55,731794;-1;1;
578;37,558526;55,728758;-1;1;
579;37,589311;55,734273;-1;1;
580;37,566431;55,731794;-1;1;
581;37,558526;55,728758;-1;1;
582;37,589311;55,734273;-1;1;
583;37,566431;55,731794;1;1;
584;37,558526;55,728758;1;1;
585;37,589311;55,734273;1;1;
586;37,566431;55,731794;-1;1;
587;37,558526;55,728758;-1;1;
588;37,589311;55,734273;-1;1;
589;37,589311;55,734273;-1;1;
590;37,566431;55,731794;-1;1;
591;37,558526;55,728758;-1;1;
592;37,589311;55,734273;-1;1;
593;37,566431;55,731794;-1;1;
594;37,558526;55,728758;-1;1;
595;37,589311;55,734273;-1;1;
596;37,566431;55,731794;-1;1;
597;37,558526;55,728758;-1;1;
598;37,589311;55,734273;-1;1;
599;37,697738;55,733548;1;1;
600;37,593956;55,733543;-1;1;
601;37,566431;55,731794;1;1;
602;37,558526;55,728758;1;1;
603;37,589311;55,734273;1;1;
604;37,566431;55,731794;1;1;
605;37,558526;55,728758;1;1;
606;37,589311;55,734273;1;1;
607;37,566431;55,731794;-1;1;
608;37,558526;55,728758;-1;1;
609;37,589311;55,734273;-1;1;
610;37,566431;55,731794;-1;1;
611;37,558526;55,728758;-1;1;
612;37,589311;55,734273;-1;1;
613;37,589311;55,734273;-1;1;
614;37,589311;55,734273;-1;1;
615;37,561203;55,770152;-1;1;
616;37,622199;55,770461;-1;1;
617;37,65629;55,77072;-1;1;
618;37,600945;55,766694;-1;1;
619;37,579645;55,726877;-1;1;
620;37,579645;55,726877;-1;1;
621;37,630948;55,78772;-1;1;
622;37,558526;55,728758;-1;1;
623;37,566431;55,731794;-1;1;
624;37,589311;55,734273;-1;1;
625;37,594522;55,744703;-1;1;
626;37,566431;55,731794;-1;1;
627;37,558526;55,728758;-1;1;
628;37,589311;55,734273;-1;1;
629;37,566431;55,731794;-1;1;
630;37,558526;55,728758;-1;1;
631;37,589311;55,734273;-1;1;
632;37,566431;55,731794;1;1;
633;37,558526;55,728758;1;1;
634;37,589311;55,734273;1;1;
635;37,566431;55,731794;-1;1;
636;37,558526;55,728758;-1;1;
637;37,589311;55,734273;-1;1;
638;37,566431;55,731794;-1;1;
639;37,558526;55,728758;-1;1;
640;37,589311;55,734273;-1;1;
641;37,566431;55,731794;1;1;
642;37,558526;55,728758;1;1;
643;37,589311;55,734273;1;1;
644;37,589033;55,759481;-1;1;
645;37,590973;55,759532;-1;1;
646;37,590973;55,759532;-1;1;
647;37,593515;55,759319;-1;1;
648;37,590973;55,759532;-1;1;
649;37,676619;55,742808;-1;1;
650;37,590973;55,759532;-1;1;
651;37,558526;55,728758;-1;1;
652;37,589311;55,734273;-1;1;
653;37,558526;55,728758;-1;1;
654;37,566431;55,731794;-1;1;
655;37,589311;55,734273;1;1;
656;37,558526;55,728758;1;1;
657;37,566431;55,731794;1;1;
658;37,566431;55,731794;1;1;
659;37,558526;55,728758;1;1;
660;37,589311;55,734273;1;1;
661;37,566431;55,731794;-1;1;
662;37,558526;55,728758;-1;1;
663;37,589311;55,734273;-1;1;
664;37,566431;55,731794;1;1;
665;37,558526;55,728758;1;1;
666;37,589311;55,734273;1;1;
667;37,566431;55,731794;1;1;
668;37,558526;55,728758;1;1;
669;37,589311;55,734273;1;1;
670;37,566431;55,731794;-1;1;
671;37,558526;55,728758;-1;1;
672;37,589311;55,734273;-1;1;
673;37,566431;55,731794;1;1;
674;37,558526;55,728758;1;1;
675;37,589311;55,734273;1;1;
676;37,589311;55,734273;-1;1;
677;37,558526;55,728758;-1;1;
678;37,566431;55,731794;-1;1;
679;37,566431;55,731794;1;1;
680;37,558526;55,728758;1;1;
681;37,589311;55,734273;1;1;
682;37,566431;55,731794;-1;1;
683;37,558526;55,728758;-1;1;
684;37,589311;55,734273;-1;1;
685;37,566431;55,731794;-1;1;
686;37,558526;55,728758;-1;1;
687;37,589311;55,734273;-1;1;
688;37,566431;55,731794;-1;1;
689;37,558526;55,728758;-1;1;
690;37,589311;55,734273;-1;1;
691;37,566431;55,731794;-1;1;
692;37,558526;55,728758;-1;1;
693;37,589311;55,734273;-1;1;
694;37,566431;55,731794;-1;1;
695;37,558526;55,728758;-1;1;
696;37,589311;55,734273;-1;1;
697;37,566431;55,731794;-1;1;
698;37,558526;55,728758;-1;1;
699;37,589311;55,734273;-1;1;
700;37,566431;55,731794;1;1;
701;37,558526;55,728758;1;1;
702;37,589311;55,734273;1;1;
703;37,566431;55,731794;-1;1;
704;37,558526;55,728758;-1;1;
705;37,589311;55,734273;-1;1;
706;37,566431;55,731794;-1;1;
707;37,558526;55,728758;-1;1;
708;37,589311;55,734273;-1;1;
709;37,566431;55,731794;-1;1;
710;37,558526;55,728758;-1;1;
711;37,589311;55,734273;-1;1;
712;37,566431;55,731794;1;1;
713;37,558526;55,728758;1;1;
714;37,589311;55,734273;1;1;
715;37,566431;55,731794;1;1;
716;37,558526;55,728758;1;1;
717;37,589311;55,734273;1;1;
718;37,589311;55,734273;-1;1;
719;37,558526;55,728758;-1;1;
720;37,589311;55,734273;-1;1;
721;37,558526;55,728758;-1;1;
722;37,589311;55,734273;-1;1;
723;37,558526;55,728758;-1;1;
724;37,589311;55,734273;1;1;
725;37,558526;55,728758;1;1;
726;37,589311;55,734273;-1;1;
727;37,558526;55,728758;-1;1;
728;37,589311;55,734273;1;1;
729;37,558526;55,728758;1;1;
730;37,589311;55,734273;1;1;
731;37,558526;55,728758;1;1;
732;37,589311;55,734273;-1;1;
733;37,558526;55,728758;-1;1;
734;37,589311;55,734273;-1;1;
735;37,558526;55,728758;-1;1;
736;37,589311;55,734273;-1;1;
737;37,558526;55,728758;-1;1;
738;37,589311;55,734273;-1;1;
739;37,558526;55,728758;-1;1;
740;37,589311;55,734273;-1;1;
741;37,558526;55,728758;-1;1;
742;37,566431;55,731794;-1;1;
743;37,558526;55,728758;-1;1;
744;37,558526;55,728758;1;1;
745;37,566431;55,731794;1;1;
746;37,631119;55,727562;-1;1;
747;37,631119;55,727562;-1;1;
748;37,633203;55,727688;-1;1;
749;37,60752;55,780684;1;1;
750;37,605867;55,785129;1;1;
751;37,60982;55,783357;1;1;
752;37,589311;55,734273;-1;1;
753;37,558526;55,728758;-1;1;
754;37,566431;55,731794;-1;1;
755;37,558526;55,728758;-1;1;
756;37,566431;55,731794;-1;1;
757;37,589311;55,734273;1;1;
758;37,558526;55,728758;1;1;
759;37,566431;55,731794;1;1;
760;37,589311;55,734273;1;1;
761;37,558526;55,728758;1;1;
762;37,566431;55,731794;1;1;
763;37,589311;55,734273;-1;1;
764;37,558526;55,728758;-1;1;
765;37,566431;55,731794;-1;1;
766;37,590282;55,741774;-1;1;
767;37,590282;55,741774;1;1;
768;37,590282;55,741774;1;1;
769;37,589311;55,734273;-1;1;
770;37,558526;55,728758;-1;1;
771;37,566431;55,731794;-1;1;
772;37,589311;55,734273;-1;1;
773;37,558526;55,728758;-1;1;
774;37,566431;55,731794;-1;1;
775;37,589311;55,734273;1;1;
776;37,558526;55,728758;1;1;
777;37,566431;55,731794;1;1;
778;37,589311;55,734273;-1;1;
779;37,558526;55,728758;-1;1;
780;37,566431;55,731794;-1;1;
781;37,589311;55,734273;1;1;
782;37,558526;55,728758;1;1;
783;37,566431;55,731794;1;1;
784;37,589311;55,734273;-1;1;
785;37,558526;55,728758;-1;1;
786;37,566431;55,731794;-1;1;
